127.0.0.1, 2016-12-27 14:15:09, GET, /admin/default/delete/aces/static/web2py.plugin.layout_KeepitSimple.w2p, HTTP/1.1, 200, 0.044418
127.0.0.1, 2016-12-27 14:15:11, GET, /admin/default/design/aces, HTTP/1.1, 200, 0.335271
127.0.0.1, 2016-12-27 14:15:14, GET, /admin/default/delete/aces/static/web2py.plugin.layout_KeepitSimple.w2p, HTTP/1.1, 200, 0.060107
127.0.0.1, 2016-12-27 14:15:16, POST, /admin/default/delete/aces/static/web2py.plugin.layout_KeepitSimple.w2p, HTTP/1.1, 303, 0.050406
127.0.0.1, 2016-12-27 14:15:16, GET, /admin/default/design/aces, HTTP/1.1, 200, 0.333681
127.0.0.1, 2016-12-27 14:15:19, GET, /admin/default/design/aces, HTTP/1.1, 200, 0.120388
127.0.0.1, 2016-12-27 14:15:23, GET, /aces, HTTP/1.1, 200, 0.102734
127.0.0.1, 2016-12-27 14:15:33, GET, /aces/home, HTTP/1.1, 404, 0.058377
127.0.0.1, 2016-12-27 14:15:49, GET, /aces/welcome, HTTP/1.1, 404, 0.250113
127.0.0.1, 2016-12-27 14:15:54, GET, /aces/home, HTTP/1.1, 404, 0.049620
127.0.0.1, 2016-12-27 14:16:02, GET, /aces/index, HTTP/1.1, 404, 0.050151
127.0.0.1, 2016-12-27 14:16:13, GET, /admin/default/peek/aces/views/generic.html, HTTP/1.1, 200, 0.061290
127.0.0.1, 2016-12-27 14:16:14, GET, /admin/default/peek/aces/views/default/index.html, HTTP/1.1, 200, 0.057488
127.0.0.1, 2016-12-27 14:16:33, GET, /admin/default/peek/aces/controllers/default.py, HTTP/1.1, 200, 0.071385
127.0.0.1, 2016-12-27 14:19:20, GET, /admin/default/peek/aces/controllers/default.py, HTTP/1.1, 200, 0.072349
127.0.0.1, 2016-12-27 14:19:47, GET, /admin/default/peek/aces/views/layout.html, HTTP/1.1, 200, 0.130730
127.0.0.1, 2016-12-27 14:20:21, GET, /admin/default/peek/aces/views/generic.pdf, HTTP/1.1, 200, 0.055843
127.0.0.1, 2016-12-27 14:20:52, GET, /aces/, HTTP/1.1, 200, 0.108408
127.0.0.1, 2016-12-27 14:22:01, GET, /admin/default/peek/aces/controllers/default.py, HTTP/1.1, 200, 0.073529
127.0.0.1, 2016-12-27 14:22:11, GET, /aces/default, HTTP/1.1, 200, 0.101742
127.0.0.1, 2016-12-27 14:22:20, GET, /aces/default, HTTP/1.1, 200, 0.109107
127.0.0.1, 2016-12-27 14:22:41, GET, /admin/default/design/aces, HTTP/1.1, 200, 0.333261
127.0.0.1, 2016-12-27 14:22:52, GET, /admin/default/peek/aces/views/default/index.html, HTTP/1.1, 200, 0.048740
127.0.0.1, 2016-12-27 14:22:57, GET, /aces/index, HTTP/1.1, 404, 0.053824
127.0.0.1, 2016-12-27 14:23:23, GET, /aces/appadmin/index, HTTP/1.1, 200, 0.203864
127.0.0.1, 2016-12-27 14:23:24, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 0.263586
127.0.0.1, 2016-12-27 14:23:27, GET, /aces/appadmin/select/db, HTTP/1.1, 200, 0.205940
127.0.0.1, 2016-12-27 14:23:43, GET, /admin/default/peek/aces/controllers/default.py, HTTP/1.1, 200, 0.065033
127.0.0.1, 2016-12-27 14:24:31, GET, /admin/default/design/aces, HTTP/1.1, 200, 0.350250
127.0.0.1, 2016-12-27 14:24:38, GET, /aces/default, HTTP/1.1, 200, 0.111397
127.0.0.1, 2016-12-27 14:24:57, GET, /admin/default/edit/aces/views/default/index.html, HTTP/1.1, 200, 0.085414
127.0.0.1, 2016-12-27 14:24:58, GET, /admin/default/edit/aces/views/default/index.html, HTTP/1.1, 200, 0.114200
127.0.0.1, 2016-12-27 14:24:58, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.211683
127.0.0.1, 2016-12-27 14:24:58, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.259866
127.0.0.1, 2016-12-27 14:24:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.408398
127.0.0.1, 2016-12-27 14:24:58, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.264097
127.0.0.1, 2016-12-27 14:24:58, GET, /aces/appadmin/hooks, HTTP/1.1, 200, 0.574158
127.0.0.1, 2016-12-27 14:25:18, GET, /admin/default/edit/aces/views/default/index.html, HTTP/1.1, 200, 0.092394
127.0.0.1, 2016-12-27 14:25:18, GET, /admin/default/edit/aces/views/default/index.html, HTTP/1.1, 200, 0.121981
