M2	1.621	269.90	
S2	0.303	283.60
N2	0.447	245.10
K1	0.262	114.0
M4	0.266	136.70
O1	0.221	123.90
M6	0.070	241.90
MK3	0.045	138.00
S4	0	0
MN4	0.113	82.20
NU2	0.077	262.20
S6	0	0
MU2	0.070	225.0
2N2	0.071	225.70
O01	0	0
LAMBDA2	0.011	276.30
S1	0.038	55.30
M1	0.016	119.0
J1	0.017	109.00
MM	0	0
SSA	0.037	44.60
SA	0.112	151.60
MSF	0	0
MF	0	0
RH01	0	0
Q1	0.045	112.60
T2	0.018	283.60
R2	0	0
2Q1	0	0
P1	0.091	123.80
2SM2	0	0
M3	0	0
L2	0.045	294.70
2MK3	0.039	159.00
K2	0.091	274.20
M8	0	0
MS4	0.076	231.00
